name,representImage,intro,address,longitude,latitude,openTime,phone,email,headCityName,cityName,groupTypeName,seg,city
聯經書房‧上海書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E160/F509/5b332f13-b2cc-4910-bc37-6315b084c1bc.jpg,為聯經出版公司位於新生南路上的門市，不過並不侷限於自家出版品。一樓聯經書房的書籍以人文社科類為主，地下室的上海書店則是銷售簡體字書籍。除台北外，聯經在台中等地亦設有門市書店。,新生南路三段94號1樓,121.542957,25.034544,11:00-22:00,(02)23620308(聯經#201，上海#202),,,臺北市  大安區,實體書店,"['聯經', '門市', '書籍', '書店', '新生南路', '不過', '並不', '出版品', '一樓', '聯經書房', '類為', '則是', '銷售', '簡體', '設有', '社科', '地下室', '台北', '人文', '中等', '自家', '出版', '上海', '公司']",臺北市
流浪ing旅遊書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D13/E184/F443/f9507046-9ff5-4063-bd3f-0c24e4fb4009.jpg,"流浪ing是一間以旅遊為主題的書店，各式各樣的旅遊書籍，分門別類地放置在書櫃上每一個適當的空間裡。在這裡，即將要去旅行的人，可以找到相關的書籍，來做行前規劃；旅行結束回來的人，可以在書名熟悉的書籍裡，和回憶產生共鳴；無法實地去旅行的人，可以在嚮往國家的書籍裡，藉由閱讀來精神遊歷。流浪ing
不只是一間書店，更是一個聚會分享的好地方。每個週休二日，或是平日特定的時間，這裡都會舉辦「旅遊分享會」。讓已經把旅遊當成信仰的旅人，不論是在一段長時間裡，遊走在不同國家與城市間的「歇遊」；或是到一個國家的某個地方check in 長住，盡情融入和體驗當地文化和生活的「住遊」；還是在一個異國城市裡找個暫時的家，並以此為據點短暫而深入去探索和瞭解這座城市的「居遊」，都可以將自己的旅遊經驗，分享給對旅遊有興趣的每個人。

圖片擷取自臺北旅遊網

本資料由文化部委託台灣閱讀推進協會建構，建立日期為107年5月13日。",台北市大安區溫州街74巷3弄2號1樓,121.542957,25.034544,週二至週日13:00 - 21:00,(02)23622378,nomading2013@gmail.com,,臺北市  大安區,實體書店,"['旅遊', '書籍', '流浪ing', '一間', '書店', '閱讀', '每個', '國家', '旅行', '分享', '城市', '或是', '藉由', '為主題', '各樣', '分門別類', '書櫃', '適當', '空間裡', '即將', '相關', '規劃', '結束', '回來', '書名', '回憶', '產生共鳴', '無法', '實地', '往國家', '遊歷', '聚會', '週休', '時間', '舉辦', '已經', '當成', '不論', '時間裡', '遊走', '歇遊', '某個', 'check', '盡情', '體驗', '當地', '住遊', '還是', '異國', '裡找', '暫時', '瞭解', '居遊', '經驗', '給對', '有興趣', '圖片', '台灣', '協會', '建構', '行前', '旅人', '文化', '各式', '地方', '融入', '放置', '信仰', '日期', '探索', '特定', '以此', '平日', '熟悉', '深入', '一段', '更是', '找到', '精神', '生活', '建立', '只是', '不同', '自己']",臺北市
水準書局,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E152/F52/8092cfcf-c0fe-42cd-94c6-e7931df6b3ed.jpg,從早期的店址搬遷到現在的浦城街，開業已超過40年，因價格便宜而吸引許多年輕學子光顧。店內書籍種類豐富，店主熱情與人交談的講價方式，是水準書局的一大特色。,浦城街1號,121.542957,25.034544,一～日｜12:00 - 22:00,(02)23645726,,,臺北市  大安區,實體書店,"['店址', '搬遷', '到現', '開業', '超過', '40', '因價格', '輕學子', '光顧', '店內', '書籍', '種類', '豐富', '熱情', '人交談', '講價', '水準', '書局', '浦城', '店主', '便宜', '一大', '特色', '吸引', '早期', '多年', '方式']",臺北市
河邊生活Liv'in Riverside,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D15/E193/F171/8ac72592-c4e1-4efa-8fc1-7b679290842e.jpg,【河邊生活】是一個推廣台灣文化的複合式平台。我們透過結合書店、藝廊與文化講座的方式，經由閱讀、舉辦工藝展覽和文化講座，創造都會居民與在地工藝、社區、部落產生連結與互動的場域。我們將生活工藝產品融入現代都會消費社會的生活脈絡中，讓生活在都市的人們可以從熟悉的日常生活體驗中，逐漸體察自身的生命經驗並感受工藝與文化內蘊的深刻感動。,台北市大安區新生南路三段16-1號,121.542957,25.034544,週一~週日 14:00-20:00,(02)2368-8825,livinriverside@gmail.com,,臺北市  大安區,實體書店,"['工藝', '講座', '文化', '生活', '河邊', '推廣', '台灣', '結合', '書店', '藝廊', '經由', '閱讀', '舉辦', '展覽', '創造', '社區', '產生', '連結', '互動', '場域', '我們將', '工藝產品', '現代', '消費', '社會', '脈絡', '人們', '體驗', '逐漸', '體察', '經驗並', '內蘊', '感動', '合式', '融入', '都市', '日常生活', '部落', '感受', '深刻', '熟悉', '平台', '生命', '自身', '居民', '方式']",臺北市
紀州庵文學森林 文創書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D13/E164/F91/b247e801-edfb-41d4-94d5-428fcee6730d.jpg,"由位居城南的紀州庵輻射出去，涵括鄰近的同安街、廈門街、金門街、牯嶺街，遠至師大與臺大學區，是臺灣戰後文學發展史上舉足輕重的場域。包括《臺灣新生報》「橋」副刊、藍星詩社、《文學雜誌》、《現代文學》等媒體刊物；中國文藝協會等藝文機構；洪範、爾雅、遠流等出版社，曾以此為據點。作家王文興、余光中、林海音、林良等人曾駐居於城南這一帶。2011年，臺北市政府文化局因城南豐厚的文學歷史，寄予「紀州庵」成為臺北市第一個以文學為主題的藝文空間，在古蹟旁建立之新館，自6月起，委託專業文學團隊──財團法人台灣文學發展基金會經營，以「紀州庵文學森林」為名，進行各式文學的展演與推廣活動，2011年12月24日正式開館。
文創書店讓文學的多種可能性在此發生，這個小舖子容納了文學書籍與文創商品，是可以彼此共享創意的複合式文創書店。文學書籍配合展覽，以主題式呈現。兼售獨立出版之各類書籍與相關作品。文創商品以各式文學與親子相關文創設計為主。

圖片擷取自紀州庵文學森林臉書粉絲專頁

本資料由文化部委託台灣閱讀推進協會建構，建立日期為107年5月13日。",台北市中正區同安街107號,121.507818,25.039382,週二至四、週日：10:00-18:00。週五、六：10:00-21:00,(02)23687577,service@kishuan.org.tw,,臺北市  中正區,實體書店,"['文學', '文創', '紀州', '書籍', '城南', '發展', '協會', '2011', '台灣', '書店', '相關', '各式', '涵括', '余光中', '北市', '兼售', '森林', '林海音', '林良', '展演', '鄰近', '廈門', '金門', '牯嶺', '遠至', '師大', '大學區', '戰後', '舉足', '輕重', '場域', '藍星', '詩社', '雜誌', '現代', '媒體', '中國', '文藝', '藝文', '機構', '洪範', '爾雅', '遠流', '王文興', '這一帶', '豐厚', '歷史', '為主題', '藝文空間', '之新館', '專業', '團隊', '財團', '會經營', '為名', '進行', '推廣', '活動', '12', '24', '開館', '多種', '發生', '這個', '子容納', '創意', '展覽', '以主題', '呈現', '獨立', '各類', '親子', '設計', '圖片', '臉書', '粉絲', '專頁', '閱讀', '建構', '同安', '合式', '射出去', '文化局', '商品', '副刊', '寄予', '建立', '出版社', '共享', '刊物', '法人', '新生', '史上', '市政府', '位居', '日期', '彼此', '以此', '作家', '配合', '出版', '可能性', '作品', '正式', '第一', '文化', '包括', '基金']",臺北市
Mangasick,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D9/E174/F454/7c29f263-8923-47c9-878a-d34a5c41f25d.JPG,"Mangasick是2013年於台灣台北市公館開業的次文化漫畫書店，提供書籍內閱服務，亦販售精選的漫畫、zine及其周邊，接受少量代訂。
內閱區的中文／中譯漫畫藏書以青年漫畫為主；日語原文漫畫藏書囊括1960至2010年代各類型非主流作品，包括漫畫、畫冊、雜誌、zine、評論書。販售區可購得台、日、中、港四地的另類漫畫、zine、週邊商品。引進日文刊物之餘，我們也開始將台灣的作品引介給日本次文化書店。
2015年8月起增設展覽空間，每月舉辦展覽。不定期以Mangasick名義推出台日兩地創作者的出版品。

圖片擷取自Mangasick官方部落格

本資料由文化部委託台灣閱讀推進協會建構，建立日期為107年5月9日。",台北市中正區羅斯福路三段244巷10弄2號B1,121.507818,25.039382,週四至週一：14:00-22:00，每週二、三公休（詳細營業時間請依店家公告為主）,(02)2369 9969,mangasickmanga@gmail.com,,臺北市  中正區,實體書店,"['漫畫', 'Mangasick', '台灣', 'zine', '書店', '藏書', '展覽', '文化', '2013', '公館', '開業', '書籍', '內閱', '服務', '販售', '精選', '周邊', '代訂', '閱區', '中譯', '為主', '日語', '1960', '2010', '各類', '畫冊', '雜誌', '評論', '販售區', '可購', '港四地', '另類', '週邊', '引進', '之餘', '開始將', '引介', '2015', '增設', '空間', '舉辦', '名義', '台日', '兩地', '出版品', '圖片', '閱讀', '協會', '建構', '作品', '非主流', '日文', '台北市', '不定期', '囊括', '原文', '刊物', '中文', '每月', '官方', '日期', '部落', '少量', '青年', '作者', '推出', '商品', '及其', '接受', '年代', '日本', '提供', '建立', '包括']",臺北市
校園書房,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D21/E166/F375/47bdbf88-852e-45f4-9298-1afd04751855.jpg,是台大地區歷史悠久的書店，以基督教書籍及其相關週邊為主要銷售產品。除一樓書籍區外，二樓有流行文具禮品，地下室則為生活家俬館。,羅斯福路三段301號B1,121.542957,25.034544,星期一至六10:30-21:50，星期日13:00-21:00,(02)23691115,,,臺北市  大安區,實體書店,"['書籍', '地區', '歷史', '書店', '相關', '週邊', '銷售', '產品', '除一樓', '區外', '二樓', '禮品', '則為', '地下室', '台大', '文具', '悠久', '基督教', '流行', '及其', '生活', '主要']",臺北市
阿維的書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E154/F736/830e00ea-a766-440c-aa71-b0ab6f59085f.jpg,位於懷寧街上，是重慶南路一帶少數的二手書店。以販售大專二手教科書為主，也兼有一些一般人文、藝術類書籍。店主個性爽朗，喜與人交談，反倒是重慶南路的書店少見的景象。,懷寧街36號8樓,121.507818,25.039382,週二至週日 11:00-20:30,(02)23754388,,,臺北市  中正區,實體書店,"['重慶', '南路', '教科', '懷寧', '一帶', '少數', '二手書', '以販售', '大專', '書為', '藝術類', '書籍', '個性', '人交談', '書店', '少見', '二手', '爽朗', '店主', '人文', '兼有', '景象', '反倒', '街上', '一般', '一些']",臺北市
書香城,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E156/F6/bdca5d7f-5e93-459d-80b2-74c28993b9f4.jpg,原是廈門街的「瑩橋書店」，其後遷至牯嶺街才更名為書香城，可說是目前牯嶺街一帶最具規模，也比較屬現代經營模式的二手書店。推拉移動式書櫃是書香城的特色，它讓書籍有較多存放位置，書籍也能有明確分類，店內空間因此寬敞而明亮許多。,牯嶺街64號,121.507818,25.039382,一～日｜10:00 - 20:00,(02)23928850,,,臺北市  中正區,實體書店,"['牯嶺', '香城', '書籍', '廈門', '瑩橋', '書店', '其後遷', '為書', '一帶', '規模', '較屬', '現代經營', '二手書', '移動式', '書櫃', '明確', '分類', '店內', '空間', '寬敞', '許多', '推拉', '存放', '最具', '更名', '明亮', '原是', '特色', '模式', '位置', '因此']",臺北市
百城堂古書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E153/F320/94c82803-58b3-420d-9dc1-445e777dc2d5.jpg,原位於光華商場內，僅一坪半的店面空間卻是台灣史料的蒐羅重地。商場拆除後，百城堂成為唯一留駐新光華商場的古書店，但終究與數位新天地格格不入，如今搬遷至八德路，依然以櫥窗展示著其所擁有的古董珍本。,八德路一段82巷9弄4號2樓,121.507818,25.039382,大部分時間不營業,(02)23968620,,,臺北市  中正區,實體書店,"['百城', '光華商場', '僅一坪', '空間', '台灣', '商場', '堂成', '留駐', '華商場', '書店', '終究', '數位', '搬遷', '八德', '著其', '擁有', '珍本', '新光', '新天地', '格格不入', '原位', '店面', '重地', '古董', '拆除', '史料', '展示', '唯一', '依然']",臺北市
93巷人文空間,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D18/E154/F601/6e0f2a9e-ccdc-4222-994e-773a4c6e78cf.jpg,"遠見．天下文化事業群 專屬空間 / 學．書．食．飲．花

一個不大的空間，有書、有咖啡、有知識份子進出、有人文氣息瀰漫、有進步觀念激盪，隱身於台北的一條小巷。

松江路上的九十三巷，提供了一個可能。我們結合了精緻的書本、誘人的咖啡及點心，以及多姿多采的人文活動，提供一個可以靜思、閱讀、談話、以及學習的場所。

期許著，更多有形和無形的人文空間，在更多城市，尤其是在人們的心靈裡，出現！",松江路93巷2號,121.524686,25.072631,週一至週六 7:45-21:00 | 週日和國定假日 7:45-18:00 | 每月最後一個周日公休,(02)2509-5085轉753、754,encounter@cwgv.com.tw,遠見‧天下文化事業群,臺北市  中山區,實體書店,"['空間', '人文', '咖啡', '多姿多采', '九十三', '遠見', '事業', '專屬', '有書', '知識', '進出', '氣息', '進步', '觀念', '激盪', '隱身', '一條', '結合', '誘人', '及點心', '活動', '靜思', '閱讀', '談話', '學習', '場所', '期許', '無形', '人們', '心靈裡', '出現', '份子', '小巷', '提供', '有形', '松江', '台北', '以及', '路上', '天下', '不大', '尤其', '文化', '城市', '可能']",臺北市
朋丁 pon ding,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D13/E171/F382/77220325-ab93-4f11-b3d5-4f5dac7b3458.jpg,"一個由台灣、印尼，日本三個朋友共同透過編輯概念、與各路人馬合作，出產各式形體與物件的計畫空間。

圖片擷取自朋丁 pon ding臉書粉絲專頁

本資料由文化部委託台灣閱讀推進協會建構，建立日期為107年5月13日。",台北市中山區中山北路一段53巷6號,121.524686,25.072631,11:00 - 20:00（每月最後一個星期一公休）,(02)25377281,hello@pon-ding.com,,臺北市  中山區,實體書店,"['台灣', '三個', '編輯', '人馬', '出產', '形體', '計畫', '空間', '圖片', '朋丁', 'pon', 'ding', '臉書', '粉絲', '專頁', '閱讀', '協會', '建構', '各式', '物件', '印尼', '各路', '日期', '朋友', '概念', '共同', '合作', '文化', '日本', '建立']",臺北市
左岸十號,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D24/E155/F895/b32bba70-b8d1-4ec0-a68b-48e3f4415690.jpg,是一家位於八里地區的書店。店內提供詩集、身心靈、文學、教育等書種，店外風景雅致，並提供簡單的咖啡與輕食，是八里地區閱讀的一個好去處。,龍米路一段356巷10號,121.429611,25.160568,平日｜13:00 - 19:00，假日｜11:00 - 19:00，二、三休,(02)26186186,,,新北市  八里區(八里鄉),實體書店,"['地區', '八里', '書店', '店內', '詩集', '身心靈', '文學', '書種', '店外', '風景', '簡單', '輕食', '閱讀', '提供', '雅致', '咖啡', '教育', '一家']",新北市
水牛書店（台北店）,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D11/E193/F49/65c1f9da-882c-4a9e-b2fd-fe47512b2744.JPG,http://www.buffalo1966.tw/,瑞安街224號1樓,121.542957,25.034544,週二 ~ 日 / 10:30- 18:30 週一公休,(02)2707-7003,act@bufbook.com.tw,,臺北市  大安區,實體書店,"['http', 'www', 'buffalo1966', 'tw']",臺北市
信義書局,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E154/F951/04d31ed6-093a-4ce3-92a0-3d5156bcaa62.jpg,位於復興南路，1977年創業於中國書城，店主興趣廣泛，而以個人品味挑選店內藝術人文叢書，加上對新知的追求而著重雜誌的陳列。二十餘年前並在出版社擔任總編輯，多年來並以書店為據點從事公益活動，將善心人士捐贈的舊書、日用品分送偏鄉及泰北華人學校。更因愛好書法，結合書畫家促進臺日民間文化交流。夫妻二人並致力於泰北地區華人文教活動，推廣書法及兒童中華經典讀經教育。,復興南路二段173號,121.542957,25.034544,一～日｜10:30 - 21:30,(02)27072970,,,臺北市  大安區,實體書店,"['泰北', '活動', '1977', '創業', '中國書城', '興趣', '廣泛', '以個', '挑選店', '內藝術', '叢書', '著重', '雜誌', '陳列', '並在', '擔任', '編輯', '並以', '書店', '善心人士', '捐贈', '舊書', '偏鄉', '華人學校', '因愛好', '書法', '結合書', '畫家', '促進', '日民間', '地區', '華人', '推廣書法', '兒童', '中華經典', '讀經', '新知', '分送', '致力', '日用品', '品味', '文教', '店主', '南路', '公益', '出版社', '文化交流', '人文', '二十', '夫妻', '年前', '追求', '二人', '教育', '多年', '加上']",臺北市
閱樂書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D13/E154/F675/22ba6ffd-39ac-4a41-ba0a-9fbdb869c35d.jpg,"閱樂書店是這座城市最奇幻的書店。建於1954年，原為松山菸場內位於製菸工廠南側的育嬰室，代表了早期工業時代重視員工福利的精神，是戰後臺灣省政府財政廳公賣局時期的作品，因營造的承商、材料等體系傳承，建築沿用日本風格。2001年被登錄為歷史建築，2004年為配合大巨蛋興建，育嬰室建築被解體後遷至目前的生態池畔復建。2013年成為夢田文創的戲劇《巷弄裡的那家書店》的主場景「閱樂書店」，並於拍攝後實地營運。2016年，閱樂邀請到文化人張鐵志擔任總顧問，重新開幕。現在這裡是書店、咖啡館，也是藝文展演空間，一個孕育思想與創作的場所，a birthplace of ideas。

圖片擷取自閱樂書店臉書粉絲專頁

本資料由文化部委託台灣閱讀推進協會建構，建立日期為107年5月13日。",台北市信義區光復南路133號（松菸文創園區內）,121.544833,25.048305,09:00-21:00,(02)27491527,yueyue.service@gmail.com,,臺北市  松山區,實體書店,"['書店', '閱樂', '建築', '巨蛋', '展演', '1954', '原為', '場內位', '工業', '時代重', '視員工', '戰後', '財政廳', '公賣局', '時期', '因營造', '承商', '體系', '傳承', '風格', '2001', '登錄', '歷史', '2004', '興建', '育嬰室', '解體後遷', '生態', '2013', '夢田文創', '戲劇', '巷弄', '裡的', '主場景', '並於拍', '攝後實', '地營運', '2016', '邀請', '人張', '鐵志', '擔任', '總顧問', '開幕', '現在', '藝文', '空間', '創作', '場所', 'birthplace', 'ideas', '圖片', '臉書', '粉絲', '專頁', '台灣', '閱讀', '協會', '建構', '池畔', '年成', '奇幻', '文化', '那家', '松山', '孕育', '福利', '沿用', '咖啡', '省政府', '日期', '配合', '早期', '作品', '材料', '精神', '思想', '重新', '日本', '城市', '代表', '建立']",臺北市
桑格設計書店,http://cloud.culture.tw/e_new_upload/cms/image/A0/B0/C0/D23/E155/F402/72b817c5-50ae-4a14-b51b-7f73d29ee4bc.jpg,桑格是頗負盛名的設計書類專賣店，營業迄今已逾30年。店內擺賣著各式歐、美、日的工業、商業設計書，同時也有色彩、工藝、攝影、動畫、插畫、建築等豐富類型，亦可在網路上查詢訂購。,復興北路15號14樓之4（1417室）,121.544833,25.048305,一～五｜09:00 - 19:00，六～日｜14:00 - 19:00,(02)27773020,,,臺北市  松山區,實體書店,"['桑格', '頗負', '設計書類', '專賣店', '營業', '30', '店內', '工業', '商業', '設計書', '同時', '工藝', '攝影', '動畫', '插畫', '建築', '豐富', '類型', '在網', '查詢', '訂購', '迄今已', '各式', '盛名', '色彩', '路上']",臺北市
